scenario,model,user,study,region,year,unit,varbl,data_source,fuel,nemreg,scen,sector_p,state,tech,val
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ACT,2015,Twh,Elec_Fuels,default,Solar,NEM,Core_2C (67%),Power,ACT,RTPV,0.061802326
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ACT,2020,Twh,Elec_Fuels,default,Solar,NEM,Core_2C (67%),Power,ACT,RTPV,0.201628149
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ACT,2022,Twh,Elec_Fuels,default,Solar,NEM,Core_2C (67%),Power,ACT,RTPV,0.337627349
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ACT,2024,Twh,Elec_Fuels,default,Solar,NEM,Core_2C (67%),Power,ACT,RTPV,0.439648969
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ACT,2026,Twh,Elec_Fuels,default,Solar,NEM,Core_2C (67%),Power,ACT,RTPV,0.559028553
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ACT,2028,Twh,Elec_Fuels,default,Solar,NEM,Core_2C (67%),Power,ACT,RTPV,0.678770825
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ACT,2030,Twh,Elec_Fuels,default,Solar,NEM,Core_2C (67%),Power,ACT,RTPV,0.830388096
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ACT,2032,Twh,Elec_Fuels,default,Solar,NEM,Core_2C (67%),Power,ACT,RTPV,0.941511675
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ACT,2034,Twh,Elec_Fuels,default,Solar,NEM,Core_2C (67%),Power,ACT,RTPV,1.097004936
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ACT,2036,Twh,Elec_Fuels,default,Solar,NEM,Core_2C (67%),Power,ACT,RTPV,1.224945083
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ACT,2038,Twh,Elec_Fuels,default,Solar,NEM,Core_2C (67%),Power,ACT,RTPV,1.380995146
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ACT,2040,Twh,Elec_Fuels,default,Solar,NEM,Core_2C (67%),Power,ACT,RTPV,1.491504027
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ACT,2042,Twh,Elec_Fuels,default,Solar,NEM,Core_2C (67%),Power,ACT,RTPV,1.615993648
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ACT,2044,Twh,Elec_Fuels,default,Solar,NEM,Core_2C (67%),Power,ACT,RTPV,1.691024546
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ACT,2046,Twh,Elec_Fuels,default,Solar,NEM,Core_2C (67%),Power,ACT,RTPV,1.839466504
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ACT,2048,Twh,Elec_Fuels,default,Solar,NEM,Core_2C (67%),Power,ACT,RTPV,1.978706525
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ACT,2050,Twh,Elec_Fuels,default,Solar,NEM,Core_2C (67%),Power,ACT,RTPV,2.157280163
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ADE,2015,Twh,Elec_Fuels,default,Natural gas,NEM,Core_2C (67%),Power,SA,Gas-base,10.43715011
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ADE,2015,Twh,Elec_Fuels,default,Natural gas,NEM,Core_2C (67%),Power,SA,Gas-peak,0.644395639
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ADE,2015,Twh,Elec_Fuels,default,Renewable,NEM,Core_2C (67%),Power,SA,Wind,0.817578161
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ADE,2020,Twh,Elec_Fuels,default,Natural gas,NEM,Core_2C (67%),Power,SA,Gas-base,12.98766216
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ADE,2020,Twh,Elec_Fuels,default,Natural gas,NEM,Core_2C (67%),Power,SA,Gas-peak,0.383346986
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ADE,2020,Twh,Elec_Fuels,default,Renewable,NEM,Core_2C (67%),Power,SA,Solar-PV,0.132489377
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ADE,2020,Twh,Elec_Fuels,default,Renewable,NEM,Core_2C (67%),Power,SA,Wind,0.817578161
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ADE,2022,Twh,Elec_Fuels,default,Natural gas,NEM,Core_2C (67%),Power,SA,Gas-base,3.378961403
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ADE,2022,Twh,Elec_Fuels,default,Natural gas,NEM,Core_2C (67%),Power,SA,Gas-peak,2.042666594
core_central~0003,Mythili-Model_Aus_TIMES,mmur0042,25-Oct-23,ADE,2022,Twh,Elec_Fuels,default,Renewable,NEM,Core_2C (67%),Power,SA,Solar-PV,0.237271186
