tech_name	tech_desc
ETI_CCS_ccs_dil_Iro_Ste_-_Bf_ne	ETI Technology - CCS of process emissions - CCS - Iron and steel - BF - Non-energy emissions intensity
ETI_FS_bio_bf_Iro_Ste_-_Bf_ed	ETI Technology - Zero emissions fuels - Biochar - Iron and steel - BF - Energy demand
ETI_EE_bat_Iro_Ste_-_Bf_ei	ETI Technology - Energy efficiency - BAT & Optimisation - Iron and steel - BF - Energy intensity
ETI_CCS_ccs_dil_Iro_Ste_-_Dri_ne	ETI Technology - CCS of process emissions - CCS - Iron and steel - DRI - Non-energy emissions intensity
ETI_FS_bio_dri_Iro_Ste_-_Dri_ed	ETI Technology - Zero emissions fuels - Biomethane - Iron and steel - DRI - Energy demand
ETI_FS_hyd_dri_Iro_Ste_-_Dri_ed	ETI Technology - Zero emissions fuels - Hydrogen - Iron and steel - DRI - Energy demand
ETI_ELE_ele_mvr_Alu_Na_ed	ETI Technology - Energy efficiency - Mechanical vapour recompression - Alumina - Energy demand
ETI_ELE_ele_blr_Alu_Na_ed	ETI Technology - Electrification - Electric boilers - Alumina - Energy demand
ETI_FS_bio_blr_Alu_Na_ed	ETI Technology - Zero emissions fuels - Biomass boilers - Alumina - Energy demand
ETI_FS_hyd_blr_Alu_Na_ed	ETI Technology - Zero emissions fuels - Hydrogen boilers - Alumina - Energy demand
ETI_FS_csp_Alu_Na_ed	ETI Technology - Zero emissions fuels - Concentrated solar thermal heat - Alumina - Energy demand
ETI_FS_hca_Alu_Na_ed	ETI Technology - Zero emissions fuels - Hydrogen calcination - Alumina - Energy demand
ETI_PI_tdi_Alu_Na_ei	ETI Technology - Process improvements - Tube digestion - Alumina - Energy intensity
ETI_PI_nov_ian_Alu_Num_ne	ETI Technology - Process improvements - Inert anodes - Aluminium - Non-energy emissions intensity
ETI_ME_mrc_Alu_Num_ei	ETI Technology - Material efficiency - Circular economy - metal recycling - Aluminium - Energy intensity
ETI_PI_nov_car_Alu_Num_al	ETI Technology - Process improvements - Carbothermic reduction - Aluminium - Activity
ETI_ELE_ele_blr_Exp_Che_ed	ETI Technology - Electrification - Electric boilers - Ammonia - Energy demand
ETI_ELE_bio_blr_Exp_Che_ed	ETI Technology - Electrification - Biomass boilers - Ammonia - Energy demand
ETI_ELE_hyd_blr_Exp_Che_ed	ETI Technology - Electrification - Hydrogen boilers - Ammonia - Energy demand
ETI_ZEF_bio_fs_Amm_Che_ed	ETI Technology - Zero emissions feedstocks - Biomethane - Ammonia - Energy demand
ETI_ZEF_hyd_fs_Amm_Che_ed	ETI Technology - Zero emissions feedstocks - Hydrogen - Ammonia - Energy demand
ETI_CCS_ccs_con_Amm_Che_ne	ETI Technology - CCS of process emissions - CCS - Ammonia - Non-energy emissions intensity
ETI_PI_nov_amm_Amm_Che_al	ETI Technology - Process improvements - Novel ammonia production - Ammonia - Activity
ETI_PI_cat_sec_Exp_Che_ne	ETI Technology - Process improvements - Secondary catalysts - Explosives - Non-energy emissions intensity
ETI_PI_cat_ter_Exp_Che_ne	ETI Technology - Process improvements - Tertiary catalysts - Explosives - Non-energy emissions intensity
ETI_NET_bfs_Fer_Che_ne	ETI Technology - Negative emission technologies - Bio feedstocks - Fertilisers - Non-energy emissions intensity
ETI_CCS_ccs_con_Gas_Min_ne	ETI Technology - CCS of process emissions - CCS - Gas mining - Non-energy emissions intensity
ETI_PI_ldr_Gas_Min_ne	ETI Technology - Process improvements - LDAR - Gas mining - Non-energy emissions intensity
